a	A
baleinière	b a l E n j E R
balinais	b a l i n E
balisage	b a l i z a Z
balise	b a l i z
baliste	b a l i s t
balistique	b a l i s t i k
ballade	b a l a d
ballast	b a l a s t
balle	b a l
ballerine	b a l R i n
ballet	b a l E
ballon	b a l O~
balme	b a l m
balnéaire	b a l n e E R
balte	b a l t
balustrade	b a l y s t R a d
bambou	b A~ b u
ban	b A~
banal	b a n a l
banale	b a n a l
banales	b a n a l
banane	b a n a n
bananes	b a n a n
bananier	b a n a n j e
banc	b A~
bande	b A~ d
bandeau	b A~ d o
bandeaux	b A~ d o
banderole	b A~ d R O l
bandit	b A~ d i
banjo	b A~ dZ o
banlieue	b A~ l j 2
bannir	b a n i R
bannissement	b a n i s m A~
banque	b A~ k
banqueroute	b A~ k R u t
banquet	b A~ k E
banquette	b A~ k E t
banquier	b A~ k j e
banquise	b A~ k i z
bantou	b A~ t u
baobab	b a o b a b
baptiser	b a t i z e
baptiste	b a t i s t
baptistère	b a t i s t E R
baptême	b a t E m
baquet	b a k E
bar	b a R
baraque	b a R a k
baraques	b a R a k
barbare	b a R b a R
barbarie	b a R b a R i
barbe	b a R b
barbeau	b a R b o
barbecue	b a R b @ k y
barber	b a R b e
barbier	b a R b j e
barbu	b a R b y
barbue	b a R b y
barbus	b a R b y
barde	b a R d
bardot	b a R d o
barge	b a R Z
baril	b a R i
barman	b a R m a n
baromètre	b a R O m E t R
baron	b a R O~
baronne	b a R O n
barons	b a R O~
baroque	b a R O k
barque	b a R k
barra	b a R a
barrage	b A R a Z
barre	b A R
barreau	b A R o
barrer	b A R e
barrette	b a R E t
barreur	b A R 9 R
barricade	b a R i k a d
barricades	b a R i k a d
barrique	b a R i k
barriques	b a R i k
barrière	b a R j E R
bars	b a R
barsac	b a R s a k
baryton	b a R i t O~
baryum	b a R j O m
barème	b a R E m
bas	b A
basalte	b a z a l t
bascule	b a s k y l
basculer	b a s k y l e
base	b A z
baseball	b E z b O l
baser	b A z e
basilic	b a z i l i k
basilique	b a z i l i k
basin	b a z E~
basique	b A z i k
basket	b a s k E t
basque	b a s k
basse	b A s
basset	b A s E
bassin	b a s E~
basson	b a s O~
bastille	b a s t i j
bastion	b a s t j O~
bat	b a
bataclan	b a t a k l A~
bataille	b a t A j
bataillon	b a t a j O~
bateau	b a t o
bath	b a t
batte	b a t
batterie	b a t R i
batteur	b a t 9 R
batteurs	b a t 9 R
battre	b a t R
bau	b o
baud	b o
baudet	b O d E
baume	b o m
bavard	b a v a R
bavarois	b a v a R w a
bavette	b a v E t
baye	b a j
bayer	b a j e
bayou	b a j u
bazar	b a z a R
bazooka	b a z u k a
baïonnette	b a j O n E t
beach	b i tS
beau	b o
beaucoup	b o k u
beaujolais	b o Z O l E
beaupré	b o p R e
beauté	b o t e
beautés	b o t e
beaux	b o
bec	b E k
becquerel	b E k R E l
beige	b E Z
beignet	b E J E
bel	b E l
belette	b @ l E t
belge	b E l Z
belgique	b E l Z i k
belle	b E l
belles	b E l
belote	b @ l O t
ben	b E~
bengali	b E~ g a l i
benjamin	b E~ Z a m E~
benoît	b @ n w a
benzoïque	b E~ z O i k
benzène	b E~ z E n
berbère	b E R b E R
berbères	b E R b E R
berceau	b E R s o
berceuse	b E R s 2 z
berge	b E R Z
berger	b E R Z e
bergerie	b E R Z @ R i
bergeronnette	b E R Z @ R O n E t
bergers	b E R Z e
berlinois	b E R l i n w A
berlinoise	b E R l i n w A z
berne	b E R n
berner	b E R n e
besoin	b @ z w E~
bestiaux	b E s t j o
bette	b E t
betterave	b E t R a v
beurre	b 9 R
bi	b i
biais	b j E
biathlon	b j a t l O~
biathlète	b j a t l E t
bibi	b i b i
bible	b i b l
bibliobus	b i b l i j o b y s
bibliothèque	b i b l i j O t E k
biblique	b i b l i k
bibliques	b i b l i k
bic	b i k
bicarbonate	b i k a R b O n a t
biceps	b i s E p s
biche	b i S
bicyclette	b i s i k l E t
bidon	b i d O~
bidonville	b i d O~ v i l
bien	b j E~
bienfaiteur	b j E~ f E t 9 R
bienheureux	b j E~ n 9 R 2
bientôt	b j E~ t o
bienveillance	b j E~ v E j A~ s
bienveillant	b j E~ v E j A~
bienvenu	b j E~ v @ n y
bienvenu	b j E~ v @ n y
bienvenue	b j E~ v @ n y
bienvenue	b j E~ v n y
bigot	b i g o
bigouden	b i g u d E n
bijection	b i Z E k s j O~
bijou	b i Z u
bijouterie	b i Z u t R i
bijoutier	b i Z u t j e
bikini	b i k i n i
bilan	b i l A~
bilatéral	b i l a t e R a l
bilatérale	b i l a t e R a l
bilatérales	b i l a t e R a l
bilatéraux	b i l a t e R o
bile	b i l
bilingue	b i l E~ g
bilinguisme	b i l E~ g H i s m
billard	b i j a R
bille	b i j
billet	b i j E
billetterie	b i j E t R i
binaire	b i n E R
binaires	b i n E R
bingo	b E~ g o
binoculaire	b i n O k y l E R
binôme	b i n o m
bio	b j o
biochimie	b j O S i m i
biographie	b j O g R a f i
biologie	b j O l O Z i
biologique	b j O l O Z i k
biologiste	b j O l O Z i s t
biomasse	b j O m a s
biométrie	b j o m e t R i
biopsie	b i j O p s i
biosphère	b j O s f E R
biotechnologie	b j O t E k n O l O Z i
bis	b i
biscuit	b i s k H i
bise	b i z
bisexualité	b i s E k s H a l i t e
bismuth	b i s m y t
bison	b i z O~
bit	b i t
bitcoin	b i t k O j n
bitume	b i t y m
bivalve	b i v a l v
bivouac	b i v w a k
bizarre	b i z a R
bière	b j E R
bières	b j E R
bièvre	b j E v R
biélorusse	b j e l O R y s
black	b l a k
blague	b l a g
blair	b l E R
blaireau	b l E R o
blanc	b l A~
blanche	b l A~ S
blancheur	b l A~ S 9 R
blanchiment	b l A~ S i m A~
blanchâtre	b l A~ S A t R
blasonnement	b l A z O n m A~
blasphème	b l a s f E m
blattes	b l a t
bled	b l E d
blesse	b l E s
blesser	b l e s e
blessure	b l e s y R
blessé	b l e s e
bleu	b l 2
bleue	b l 2
bleues	b l 2
bleuet	b l 2 E
bleuté	b l 2 t e
bleuâtre	b l 2 A t R
blindé	b l E~ d e
bloc	b l O k
blocage	b l O k a Z
blocages	b l O k a Z
blocus	b l O k y s
blog	b l O g
blogue	b l O g
blond	b l O~
blonde	b l O~ d
bloquer	b l O k e
blouse	b l u z
blues	b l u z
bluff	b l 9 f
blé	b l e
boa	b O a
bob	b O b
bobine	b O b i n
bobo	b o b o
bobsleigh	b O b s l E g
bocal	b O k a l
bogue	b O g
bohème	b O E m
boire	b w a R
bois	b w A
boisseau	b w a s o
boisson	b w a s O~
boiteux	b w a t 2
bol	b O l
bolet	b O l E
bolivar	b O l i v a R
bolivien	b O l i v j E~
boléro	b O l e R o
bombarder	b O~ b a R d e
bombardier	b O~ b a R d j e
bombe	b O~ b
bomber	b O~ b e
bombes	b O~ b
bombé	b O~ b e
bon	b O n
bonbon	b O~ b O~
bonbons	b O~ b O~
bond	b O~
bonheur	b O n 9 R
bonhomme	b O n O m
bonjour	b O~ Z u R
bonnard	b O n a R
bonne	b O n
bonnes	b O n
bonnet	b O n E
bons	b O~ z
bonsaï	b O~ z a j
bonté	b O~ t e
bonus	b O n y s
booker	b u k e
boom	b u m
boomerang	b u m R A~ g
bord	b O R
bordel	b O R d E l
border	b O R d e
bordure	b O R d y R
bordée	b O R d e
bore	b O R
borgne	b O R J
borne	b O R n
borné	b O R n e
boréal	b O R e a l
boréale	b O R e a l
boréales	b O R e a l
bosco	b O s k o
bosniaque	b o z n j a k
bosnien	b O s n j E~
boson	b o z O~
bosquet	b O s k E
boss	b O s
bosse	b O s
bosses	b O s
bossu	b O s y
botte	b O t
bou	b u
bouc	b u k
bouche	b u S
boucher	b u S e
boucherie	b u S R i
bouchon	b u S O~
bouchère	b u S E R
boucle	b u k l
bouclier	b u k l i j e
bouddhique	b u d i k
bouddhisme	b u d i z m
bouddhiste	b u d i s t
boudin	b u d E~
boue	b u
boueux	b w 2
bouffon	b u f O~
bouge	b u Z
bouger	b u Z e
bougie	b u Z i
bouilli	b u j i
bouillie	b u j i
bouillies	b u j i
bouillir	b u j i R
bouillis	b u j i
bouillon	b u j O~
boulanger	b u l A~ Z e
boulangerie	b u l A~ Z R i
boule	b u l
bouleau	b u l o
bouleaux	b u l o
bouledogue	b u l d O g
boulet	b u l E
boulette	b u l E t
boulevard	b u l v a R
bouleverser	b u l v E R s e
boulin	b u l E~
boulon	b u l O~
boulot	b u l o
boum	b u m
bouquet	b u k E
bourdon	b u R d O~
bourg	b u R
bourgade	b u R g a d
bourgeois	b u R Z w a
bourgeoisie	b u R Z w a z i
bourgeon	b u R Z O~
bourgeonnement	b u R Z O n m A~
bourgmestre	b u R m E s t R
bourguignon	b u R g i J O~
bourguignonne	b u R g i J O n
bourre	b u R
bourreau	b u R o
bourrelet	b u R l E
bourré	b u R e
bourse	b u R s
boursier	b u R s j e
boursière	b u R s j E R
boursières	b u R s j E R
boussole	b u s O l
bout	b u t
bouteille	b u t E j
bouteilles	b u t E j
boutique	b u t i k
bouton	b u t O~
bouture	b u t y R
bouvier	b u v j e
bouée	b w e
bovin	b O v E~
bovine	b O v i n
bowling	b u l i N
box	b O k s
boxe	b O k s
boxer	b O k s E R
boxeur	b O k s 9 R
boxeuse	b O k s 2 z
boy	b O j
boyau	b w a j o
boycott	b O j k O t
boîte	b w a t
bracelet	b R a s l E
brachial	b R a k j a l
braises	b R E z
brancard	b R A~ k a R
branche	b R A~ S
brancher	b R A~ S e
branchies	b R A~ S i
branco	b R A~ k o
brandon	b R A~ d O~
branle	b R A~ l
braque	b R a k
bras	b R A
brassard	b R a s a R
brasse	b R a s
brasserie	b R a s R i
brasseur	b R a s 9 R
brassicole	b R a s i k O l
brassée	b R a s e
brave	b R a v
braves	b R a v
bravo	b R a v o
bravoure	b R a v u R
break	b R E k
brebis	b R @ b i
bref	b R E f
bretelle	b R @ t E l
bretelles	b R @ t E l
breton	b R @ t O~
bretonne	b R @ t O n
bretonnes	b R @ t O n
bretons	b R @ t O~
breuvage	b R 9 v a Z
brevet	b R @ v E
breveté	b R @ v @ t e
breveté	b R @ v t e
brick	b R i k
bride	b R i d
bridge	b R i dZ
brie	b R i
brigade	b R i g a d
brigand	b R i g A~
brillant	b R i j A~
briller	b R i j e
brin	b R E~
brio	b R i j o
brioche	b R i j O S
brique	b R i k
briquet	b R i k E
brisant	b R i z A~
brise	b R i z
briser	b R i z e
brisure	b R i z y R
britannique	b R i t a n i k
british	b R i t i S
brittonique	b R i t O n i k
brièveté	b R i j E v t e
broc	b R o
brocante	b R O k A~ t
brochant	b R O S A~
broche	b R O S
brochet	b R O S E
brochure	b R O S y R
brocoli	b R O k O l i
brome	b R o m
bronches	b R O~ S
bronze	b R O~ z
brosse	b R O s
brou	b R u
brouillard	b R u j a R
brouiller	b R u j e
brouillon	b R u j O~
brousse	b R u s
brownien	b R o n j E~
broyer	b R w a j e
broyeur	b R w a j 9 R
bru	b R y
bruit	b R H i
brumaire	b R y m E R
brume	b R y m
brumeux	b R y m 2
brun	b R 9~
brune	b R y n
bruni	b R y n i
brunâtre	b R y n A t R
brusque	b R y s k
brusquement	b R y s k @ m A~
brusques	b R y s k
brut	b R y
brutal	b R y t a l
brutale	b R y t a l
brutales	b R y t a l
brutalité	b R y t a l i t e
brutaux	b R y t o
bruxellois	b R y s E l w a
bruyant	b R H i j A~
bruyère	b R H i j E R
bruyères	b R H i j E R
brèche	b R E S
brème	b R E m
brève	b R E v
brésilien	b R e z i l j E~
bréviaire	b R e v j E R
brûlage	b R y l a Z
brûlant	b R y l A~
brûler	b R y l e
brûlure	b R y l y R
brûlé	b R y l e
brûlée	b R y l e
bu	b y
budget	b y dZ E
buffet	b y f E
buffle	b y f l
bug	b 9 g
buis	b H i
buisson	b H i s O~
bulbe	b y l b
bulgare	b y l g a R
bull	b u l
bulle	b y l
buller	b y l e
bulletin	b y l t E~
bunker	b u N k E R
bureau	b y R o
burin	b y R E~
burlesque	b y R l E s k
bus	b y s
busard	b y z a R
buse	b y z
business	b i z n E s
buste	b y s t
but	b y t
butane	b y t a n
buteur	b y t 9 R
butin	b y t E~
butoir	b y t w a R
butor	b y t O R
butte	b y t
buvette	b y v E t
buzz	b 2 z
bye	b a j
byzantin	b i z A~ t E~
bâbord	b A b O R
bâche	b A S
bâtard	b A t a R
bâti	b a t i
bâtiment	b A t i m A~
bâtir	b A t i R
bâtisse	b A t i s
bâtisseur	b A t i s 9 R
bâton	b A t O~
bâtonnet	b A t O n E
bègue	b E g
bé	b e
bébé	b e b e
bécasse	b e k a s
bélier	b e l j e
bémol	b e m O l
bénard	b e n a R
béni	b e n i
bénir	b e n i R
bénissant	b e n i s A~
bénit	b e n i
bénite	b e n i t
bénitier	b e n i t j e
bénédiction	b e n e d i k s j O~
bénéfice	b e n e f i s
bénéfique	b e n e f i k
bénévole	b e n e v O l
béquille	b e k i j
béret	b e R E
béryllium	b e R i l j O m
bétail	b e t a j
béton	b e t O~
bêta	b E t a
bête	b E t
bêtise	b e t i z
bôme	b o m
bûche	b y S
bûcher	b y S e
bûcheron	b y S R O~
c	s e
c'	s
c'est	s E t
cabale	k a b a l
cabane	k a b a n
cabanon	k a b a n O~
cabaret	k a b a R E
cabine	k a b i n
cabines	k a b i n
cabinet	k a b i n E
cabot	k a b o
cabrera	k a b R @ R a
cabriolet	k a b R i j O l E
cacao	k a k a o
cachalot	k a S a l o
cache	k a S
cachemire	k a S m i R
cacher	k a S e
cachet	k a S E
cachette	k a S E t
cachot	k a S o
caché	k a S e
cacique	k a s i k
cactus	k a k t y s
cadastre	k a d a s t R
cadavre	k a d A v R
cadavres	k a d a v R
cadeau	k a d o
cadeaux	k a d o
cadenas	k a d n A
cadence	k a d A~ s
cadet	k a d E
cadmium	k a d m j O m
cadran	k a d R A~
cadre	k A d R
caduc	k a d y k
caduque	k a d y k
caduques	k a d y k
cafetière	k a f @ t j E R
café	k a f e
caféier	k a f e j e
caféine	k a f e i n
cafétéria	k a f e t e R j a
cage	k a Z
cagnotte	k a J O t
cagoule	k a g u l
cahier	k a j e
cahiers	k a j e
cahors	k a O R
caille	k A j
caillou	k a j u
caisse	k E s
caisses	k E s
caissier	k e s j e
caisson	k E s O~
cake	k E k
cal	k a l
calame	k a l a m
calcaire	k a l k E R
calcination	k a l s i n a s j O~
calcique	k a l s i k
calcium	k a l s j O m
calcul	k a l k y l
calculer	k a l k y l e
cale	k a l
calendaire	k a l A~ d E R
calendrier	k a l A~ d R i j e
calibre	k a l i b R
calice	k a l i s
californien	k a l i f O R n j E~
calligraphe	k a l i g R a f
calligraphie	k a l i g R a f i
calme	k a l m
calmer	k a l m e
calmes	k a l m
calque	k a l k
calvaire	k a l v E R
calvinisme	k a l v i n i z m
calèche	k a l E S
cam	k a m
camarade	k a m a R a d
cambodgien	k A~ b O dZ j E~
came	k a m
camelot	k a m l o
camembert	k a m A~ b E R
camerounais	k a m R u n E
cames	k a m
camion	k a m j O~
camionnette	k a m j O n E t
camomille	k a m O m i j
camoufler	k a m u f l e
camp	k A~
campagnard	k A~ p a J a R
campagne	k A~ p a J
campanule	k A~ p a n y l
camphre	k A~ f R
camping	k A~ p i N
camus	k a m y
caméléon	k a m e l e O~
caméra	k a m e R a
caméraman	k a m e R a m a n
canadien	k a n a d j E~
canal	k a n a l
canalisation	k a n a l i z a s j O~
canalisations	k a n a l i z a s j O~
canaliser	k a n a l i z e
canapé	k a n a p e
canard	k a n a R
canari	k a n a R i
canaux	k a n o
cancer	k A~ s E R
candela	k A~ d e l a
candidat	k A~ d i d a
candidats	k A~ d i d a
candidature	k A~ d i d a t y R
candide	k A~ d i d
canevas	k a n v A
canicule	k a n i k y l
canin	k a n E~
canine	k a n i n
cannabis	k a n a b i
canne	k a n
canneberge	k a n b E R Z
cannelle	k a n E l
cannelures	k a n l y R
cannibale	k a n i b a l
canon	k a n O~
canonial	k a n O n j a l
canonique	k a n O n i k
canoniquement	k a n O n i k m A~
canonisation	k a n O n i z a s j O~
canonnière	k a n O n j E R
canot	k a n o
cantal	k A~ t a l
cantatrice	k A~ t a t R i s
cantine	k A~ t i n
cantines	k A~ t i n
cantique	k A~ t i k
canton	k A~ t O~
cantonais	k A~ t o n E
canular	k a n y l a R
canyon	k a J O n
caoutchouc	k a u tS u
cap	k a p
capa	k a p a
capable	k a p a b l
capacité	k a p a s i t e
capacités	k a p a s i t e
cape	k a p
capillaire	k a p i j E R
capitaine	k a p i t E n
capital	k a p i t a l
capitale	k a p i t a l
capitales	k a p i t a l
capitaux	k a p i t o
capitule	k a p i t y l
capoeira	k a p w E R a
caporal	k a p O R a l
capote	k a p O t
caprice	k a p R i s
capteur	k a p t 9 R
captif	k a p t i f
capture	k a p t y R
capturer	k a p t y R e
capuche	k a p y S
car	k a R
carabine	k a R a b i n
caracal	k a R a k a l
caractère	k a R a k t E R
caractéristique	k a R a k t e R i s t i k
caramel	k a R a m E l
caravane	k a R a v a n
carbonate	k a R b O n a t
carbone	k a R b O n
carbonifère	k a R b O n i f E R
carbonyle	k a R b O n i l
carboxyle	k a R b O k s i l
carcasse	k a R k a s
cardigan	k a R d i g A~
cardinal	k a R d i n a l
care	k a R
carence	k a R A~ s
caresse	k a R E s
cargo	k a R g o
caribou	k a R i b u
caricature	k a R i k a t y R
carie	k a R i
carillon	k a R i j O~
carlin	k a R l E~
carmin	k a R m E~
carnage	k a R n a Z
carnaval	k a R n a v a l
carne	k a R n
carnet	k a R n E
carole	k a R O l
caron	k a R O~
carotide	k a R O t i d
carotte	k a R O t
carouge	k a R u Z
carpe	k a R p
carre	k a R
carreau	k a R o
carrefour	k a R f u R
carrelage	k a R l a Z
carrera	k a R @ R a
carrière	k a R j E R
carrières	k a R j E R
carrosse	k a R O s
carrossier	k a R O s j e
carré	k a R e
carrément	k a R e m A~
carta	k a R t a
carte	k a R t
cartes	k a R t
cartilage	k a R t i l a Z
cartilagineux	k a R t i l a Z i n 2
cartographie	k a R t O g R a f i
cartographier	k a R t O g R a f j e
carton	k a R t O~
cartulaire	k a R t y l E: R
carène	k a R E n
carême	k a R E m
cas	k A
casbah	k a s b a
cascade	k a s k a d
case	k A z
casemate	k a z m a t
caserne	k a z E R n
cash	k a S
casier	k A z j e
casiers	k a z j e
casino	k a z i n o
casque	k a s k
casques	k a s k
casquette	k a s k E t
cassation	k a s a s j A~
casse	k A s
casser	k A s e
casserole	k a s R O l
cassette	k A s E t
cassettes	k a s E t
cassie	k a s i
castes	k a s t
castillan	k a s t i j A~
casting	k a s t i N
castor	k a s t O R
castors	k a s t O R
castra	k a s t R a
catabolisme	k a t a b O l i z m
catacombe	k a t a k O~ b
catacombes	k a t a k O~ b
catalan	k a t a l A~
catalane	k a t a l a n
catalanes	k a t a l a n
catalans	k a t a l A~
catalogue	k a t a l O g
catalogues	k a t a l O g
catamaran	k a t a m a R A~
cataracte	k a t a R a k t
catastrophe	k a t a s t R O f
catastrophique	k a t a s t R O f i k
catch	k a tS
cathare	k a t a R
cathares	k a t a R
catholique	k a t O l i k
cathédrale	k a t e d R a l
cathédrales	k a t e d R a l
cathéter	k a t e t E R
cation	k a t j O~
cations	k a t j O~
catéchisme	k a t e S i z m
catégorie	k a t e g O R i
catégorisation	k a t e g O R i z a s j O~
catégoriser	k a t e g O R i z e
cauchemar	k O S m a R
cauchemars	k O S m a R
cauchois	k o S w a
caudal	k o d a l
caudale	k o d a l
cause	k o z
causer	k o z e
caustique	k o s t i k
cavale	k a v a l
cavalier	k a v a l j e
cavalière	k a v a l j E R
cave	k a v
caveau	k a v o
caverne	k a v E R n
caverneux	k a v E R n 2
caviar	k a v j a R
caïd	k a i d
caïman	k a i m A~
ce	s @
ceci	s @ s i
ceint	s E~
ceinture	s E~ t y R
cela	s @ l a
cell	s E l
celle	s E l
celles	s E l
cellier	s e l j e
cellulaire	s E l y l E R
cellulaires	s E l y l E R
cellule	s e l y l
cellules	s E l y l
cellulite	s E l y l i t
celte	s E l t
celtique	s E l t i k
celui	s @ l H i
cendre	s A~ d R
cendré	s A~ d R e
cendrée	s A~ d R e
censeur	s A~ s 9 R
censure	s A~ s y R
cent	s A~
centaine	s A~ t E n
centimes	s A~ t i m
centimètre	s A~ t i m E t R
centième	s A~ t j E m
centrage	s A~ t R a Z
central	s A~ t R a l
centrale	s A~ t R a l
centralisateur	s A~ t R a l i z a t 9 R
centralisation	s A~ t R a l i z a s j O~
centraliser	s A~ t R a l i z e
centre	s A~ t R
centres	s A~ t R
centriste	s A~ t R i s t
centristes	s A~ t R i s t
cep	s E p
cependant	s @ p A~ d A~
cerceau	s E R s o
cercle	s E R k l
cercueil	s E R k 9 j
cerf	s E R
cerfeuil	s E R f 9 j
cerise	s @ R i z
cerisier	s @ R i z j e
cerner	s E R n e
certain	s E R t E~
certainement	s E R t E n m A~
certes	s E R t
certificat	s E R t i f i k a
certification	s E R t i f i k a s j O~
certifier	s E R t i f j e
certitude	s E R t i t y d
certitudes	s E R t i t y d
cerveau	s E R v o
cerveaux	s E R v o
cervelet	s E R v @ l E
ces	s e
cesse	s E s
cesser	s e s e
cet	s E t
cette	s E t
ceux	s 2
chabbat	S a b a
chacal	S a k a l
chacun	S a k 9~
chagrin	S a g R E~
chaine	S E n
chair	S E R
chaire	S E R
chaires	S E R
chairs	S E R
chais	S e
chaise	S E z
chaland	S a l A~
chalcolithique	k a l k O l i t i k
chaleur	S a l 9 R
chaleureux	S a l 9 R 2
challenge	S a l A~ Z
chaloupe	S a l u p
chalumeau	S a l y m o
chalutier	S a l y t j e
chaman	S a m a n
chambellan	S A~ b E l A~
chambre	S A~ b R
chameau	S a m o
chamois	S a m w a
champ	S A~
champagne	S A~ p a J
champignon	S A~ p i J O~
champion	S A~ p j O~
championnat	S A~ p j O n a
champs	S A~
champêtre	S A~ p E t R
chance	S A~ s
chancre	S A~ k R
chandelier	S A~ d @ l j e
chandelle	S A~ d E l
change	S A~ Z
changement	S A~ Z m A~
changer	S A~ Z e
changé	S A~ Z e
chanoine	S a n w a n
chanson	S A~ s O~
chansons	S A~ s O~
chant	S A~
chantage	S A~ t a Z
chantant	S A~ t A~
chante	S A~ t
chanter	S A~ t e
chanteur	S A~ t 9 R
chanteuse	S A~ t 2 z
chantier	S A~ t j e
chantre	S A~ t R
chanvre	S A~ v R
chaos	k a o
chaotique	k a O t i k
chaoui	S a w i
chape	S a p
chapeau	S a p o
chapeaux	S a p o
chapelain	S a p l E~
chapelet	S a p l E
chapelets	S a p l E
chapelier	S a p @ l j e
chapelle	S a p E l
chaperon	S a p R O~
chapiteau	S a p i t o
chapitre	S a p i t R
chaque	S a k
char	S a R
charançon	S a R A~ s O~
charbon	S a R b O~
charbonnage	S a R b O n a Z
charbonnier	S a R b O n j e
charbonniers	S a R b O n j e
charbonnière	S a R b O n j E R
charcuterie	S a R k y t R i
chardon	S a R d O~
chardonnay	S a R d O n E
charge	S a R Z
charger	S a R Z e
charges	S a R Z
chariot	S a R j o
charismatique	k a R i s m a t i k
charismatiques	k a R i s m a t i k
charisme	k a R i s m
charitable	S a R i t a b l
