ALES	a_" l e s
Mazlumgile	m a z 5_" u_" m_" gj i l e
Mecidiyeköy	m_" e_" dZ i d i j e c 2 j
Mehmet	m e h m_" e_" t_"
Mehmet	m e m_" e_" t_"
Mehtap'ın	m e h t a b_" 1_" n_"
Melek'le	m e l_" e_" k_" l e
Melek	m e l_" e_" c_"
Melekler	m e l e k l_" e_" r`_"
Meliha	m e l i: h_" a_"
Mercedes'in	m e r dZ e d e s_" i_" n_"
Mercedes	m e r s_" e_" d e s
Mercimek	m e r dZ i m_" e_" c_"
Merve	m e r w_" e_"
Merve	m_" e_" r_" w e
Mesut	m e s_" u_" t_"
Mete	m e t_" e_"
Metehan	m e t_" e_" a n
Metehan	m e t_" e_" h a n
Metin	m_" e_" t i n
Metropol'deki	m e t r o p o l d e c_" i_"
Metropolitan'a	m e t r_" o_" p o l i t a n a
Michael	m_" a_" j_" k 1 5
Migros'a	m_" i_" gj_" r o s a
Migros'ta	m_" i_" g_" r o s t a
Mine'ye	m_" i_" n e j e
Miray	m_" i_" r a j
Moussa	m u s s_" a_"
Muhsin'de	m u h s i n d_" e_"
Muradiye'ye	m u r_" a:_" d i j e j e
Murat'la	m u r_" a_" t_" 5 a
Murat'ı	m u r a t_" 1_"
Murat'ın	m u r a t_" 1_" n_"
Murat	m u r_" a_" t_"
Murtaza	m u r t a z_" a:_"
Musa	m u s_" a_"
Mustafa'ya	m u s t a f a j_" a_"
Mustafa'yı	m_" u_" s_" t a f a j 1
Mustafa	m u s t a f_" a_"
Muttalip	m u t t_" a_" l i p
Muşlu	m_" u_" S_" 5 u
Müge	m y gj_" e_"
Münire	m y n i: r_" e_"
Mürüvvet	m y r y w w_" e_" t_"
Mısır	m_" 1_" s 1 r`
Naciye'de	n a dZ i j e d_" e_"
Naciye'nin	n a dZ i j e n_" i_" n_"
Naciye'ye	n a dZ i j e j_" e_"
Nagihan	n a: gj i h_" a_" n_"
Naren	n a: r_" e_" n_"
Narlıdere'dekine	n a r 5_" 1_" d e r e d e c i n e
Naz	n_" a_" z_"
Nazmi	n_" a_" z_" m i
Nazım	n_" a_" z 1 m
Nehir'i	n e h i r_" i_"
Nehir'im	n e h i r_" i_" m_"
Nehir	n e h_" i_" r`_"
Nejla	n e Z 5_" a:_"
Nesil	n e s_" i_" l_"
Nesirle	n e s_" i_" r_" l e
Neslihan'la	n e s l i h_" a_" n_" 5 a
Neslihan	n_" e_" s_" l i a n
Neslihan	n_" e_" s_" l i h a n
Nesrin'e	n e s r i n_" e_"
Nesrin'le	n e s r_" i_" n_" l e
Neşeli	n e S e l_" i_"
Nihal	n i a_" 5_"
Nihal	n i h_" a_" 5_"
Nilay'cığım	n i 5 a j dZ_" 1:_" m_"
Nilay'la	n i l_" a_" j_" l a
Nisa	n_" i_" s a
Nivea	n i w e a_"
Nokia	n_" o_" c_" j a
Nuran	n_" u:_" r a n
Nuran	n_" u_" r a n
Nuray'la	n u r_" a_" j_" 5 a
Nuray	n u r_" a_" j_"
Nurdan	n u r d_" a_" n_"
Nurettin	n_" u_" r e t t i n
Nurgül'le	n u r gj_" y_" l_" l e
Nuri'ye	n u: r i j_" e_"
Nuri'yle	n u: r_" i_" j_" l e
Nuri	n_" u:_" r i
Nuri	n_" u_" r i
Okan	o c_" a_" n_"
Okan	o k_" a_" n_"
Oktay	o_" k_" t a j
Okulu'nu	o k u 5 u n_" u_"
Okulu'yla	o k u 5_" u_" j_" 5 a
Olcay'a	o 5 dZ a j_" a_"
Olcay'ın	o 5 dZ a j_" 1_" n_"
Olcay	o 5 dZ_" a_" j_"
Onur'da	o n u r d_" a_"
Onur	o n_" u_" r`_"
Onurlarla	o n u r 5 a r 5_" a_"
Optima	o p t_" i_" m a
Optimum'a	o p t_" i_" m u m a
Orhan	o r h_" a_" n_"
Orhan	o r_" a_" n_"
Orçun'a	o r tS u n_" a_"
Osman	o s m_" a_" n_"
Osman	o_" s_" m a n
Ozan'ı	o z a n_" 1_"
Ozan'ın	o z a n_" 1_" n_"
Ozan	o z_" a_" n_"
Oğuzhan	o: z h_" a_" n_"
P_V_P	p_" e:_" w_" e:_" p_" e:_"
Paşa'nın	p a S a n_" 1_" n_"
Pelin	p e l_" i_" n_"
Pelin	p_" e_" l i n
Perihan'la	p e r i h_" a_" n_" 5 a
Peugeot	p e Z_" o_"
Pit'i	p i t_" i_"
Pitt	p_" i_" t_"
Polenezköy	p o l e n_" e_" z_" c 2 j
Polonezköy'e	p o 5 o n e z c_" 2_" j e
Polonezköy	p o 5 o n_" e_" z_" c 2 j
Pomad	p o m_" a_" d_"
Poyraz'sın	p o j r_" a_" z_" s 1 n
Poyraz	p o j r_" a_" z_"
Profilo'nun	p 1 r o f_" i_" 5 o n u n
Pınar'ın	p 1 n a r_" 1_" n_"
Pınar	p 1 n_" a_" r`_"
Rabbim	r a b b_" i_" m_"
Radikal'dekileri	r a d i k a l d e c i l e r_" i_"
Rahim	r a h_" i_" m_"
Rahim	r a i_" m_"
Ramazan'a	r a m a z a n_" a_"
Ramazan'la	r a m a z a n 5_" a_"
Ramazan'ı	r a m a z a n_" 1_"
Ramazan	r a m a z_" a_" n_"
Real	r_" e_" a 5
Recep	r e dZ_" e_" p_"
Robinhood	r o b_" i_" n_" h u: d
Rodolpho'nun	r o d o 5 f o n_" u_" n_"
Rodolpho'yu	r o d_" o_" 5_" p o j u
Rodolpho'yu	r o d_" o_" 5_" p_" h o j u
Rodolpho	r o d_" o_" 5_" p o
Rodolpho	r o d_" o_" 5_" p_" h o
Romanya	r o m_" a_" n_" j a
Rumeli	r_" u_" m e l i
Rus	r_" u_" s_"
Rusya'dan	r u s j a d_" a_" n_"
Rüzgar	r y z gj_" a_" r`_"
S_B_S	s_" e:_" b_" e:_" s_" e:_"
Sabri	s a b r_" i_"
Sadık	s_" a:_" d 1 k
Sadıkla	s_" a:_" d 1 k 5 a
Sakarya'da	s a c a r j a d_" a_"
Sakarya'da	s a k a r j a d_" a_"
Sakarya'dan	s a k_" a_" r_" j a d a n
Sakarya'ya	s a k_" a_" r_" j a j a
Sakarya	s a c_" a_" r_" j a
Sakarya	s a k_" a_" r_" j a
Salim'le	s_" a:_" l i m l e
Salim	s_" a:_" l i m
Samet'e	s a m e t_" e_"
Samet	s a m_" e_" t_"
Sarayspor	s a r a j s p_" o_" r`_"
Saraçhane'de	s a r_" a_" tS a n e d e
Saw	s_" a_" w_"
Seda'dan	s_" e_" d a: d a n
Seda	s_" e_" d a:
Seher	s e e_" r`_"
Seher	s e h_" e_" r`_"
Selin'de	s e l i n d_" e_"
Selin'le	s e l_" i_" n_" l e
Selin'leyim	s e l i n l_" e_" j i m
Selin	s e l_" i_" n_"
Selinciği	s e l i n dZ_" i:_"
Selma	s e l m_" a_"
Sema'sı	s e m a: s_" 1_"
Semih	s e m_" i_"
Semih	s e m_" i_" h_"
Semra	s e m r_" a:_"
Sena	s e n_" a:_"
Senem	s e n_" e_" m_"
Serap'a	s e r a b_" a_"
Serap'la	s e r_" a_" p_" 5 a
Serap'ın	s e r a p_" 1_" n_"
Serap'ınkini	s e r a b 1 n c i n_" i_"
Serap	s e r_" a_" p_"
Seraplar	s e r a p 5_" a_" r`_"
Serdar	s e r d_" a_" r`_"
Serdar	s_" e_" r_" d a r`
Serenay	s e r e n_" a_" j_"
Sergen	s e r gj_" e_" n_"
Serhat'la	s e r h_" a_" t_" 5 a
Serhat'ı	s e r h a t_" 1_"
Serkan'la	s e r k_" a_" n_" 5 a
Serkan	s e r c_" a_" n_"
Serkan	s e r k_" a_" n_"
Serkan	s_" e_" r_" c a n
Serkan	s_" e_" r_" k a n
Servet	s_" e_" r_" w e t
Sevgi'nin	s e w gj i n_" i_" n_"
Sevil	s e w_" i_" l_"
Sevim	s e w_" i_" m_"
Seydi	s e j d_" i_"
Seyid'i	s e j i d_" i_"
Seçkin	s e tS c_" i_" n_"
Sibel'in	s i b e l_" i_" n_"
Siirt'te	s_" i:_" r_" t_" t e
Siirt	s_" i:_" r_" t_"
Siirtli	s_" i_" i r t l i
Sinan	s i n_" a_" n_"
Sinan	s_" i_" n a n
Sincan'da	s_" i_" n_" dZ a n d a
Sincan	s_" i_" n_" dZ a n
Sinem	s i n_" e_" m_"
Sinem	s i: n_" e_" m_"
Sinem	s_" i:_" n e m
Sinem	s_" i_" n e m
Sinop'a	s_" i_" n o p a
Sinop'u	s_" i_" n o b u
Sitesi'ni	s i t e s i n_" i_"
Sivas'a	s i w a s_" a_"
Sivas	s_" i_" w a s
Siyah	s i j_" a_" h_"
Skolatik'e	s 1 k o 5 a t i c_" e_"
Skolatik'in	s 1 k o 5 a t_" i:_" n_"
Skolatik	s 1 k o 5 a t_" i_" c_"
Smith	s i m_" i_" t_"
Songül	s o n gj_" y_" l_"
Stadyumu'nun	s 1 t a d j u m u n_" u_" n_"
Stoch	s 1 t_" o_" h_"
Sude	s_" u:_" d e
Sultan	s_" u_" 5_" t a n
Sultangazi'de	s_" u_" 5_" t a n gj a z i d e
Sunal'ın	s u n a 5_" 1_" n_"
Suşehri'ne	s_" u_" S e h r i n e
Süheyla	s y h e j l_" a:_"
Süleyman	s y l e j m_" a_" n_"
Süleyman	s_" y_" l e j m a n
Sıhhiye'de	s 1 h h_" i_" j e d e
Sıtkı	s 1 t k_" 1_"
TEB'in	t e b_" i_" n_"
TEB	t_" e_" b_"
T_L	t_" e:_" l_" e:_"
T_R_T'de	t_" e:_" r_" e:_" t e: d_" e_"
T_S_E	t_" e:_" s_" e:_" e:_"
T_T	t_" e:_" t_" e:_"
T_Y_P'leri	t_" e:_" j_" e:_" p e: l e r_" i_"
Tahsin	t a h s_" i_" n_"
Taksim'de	t a k s i m d_" e_"
Taksim'deyim	t a k s i m d e j_" i_" m_"
Taksim'e	t a k s i m_" e_"
Talim'den	t a: l i m d_" e_" n_"
Talim'i	t a: l i m_" i_"
Tamer'in	t a m e r_" i_" n_"
Tan	t_" a_" n_"
Tatlıses	t a t 5_" 1_" s e s
Tayfu'nu	t a j f u n_" u_"
Tayfun'un	t a j f u n_" u_" n_"
Tayfun	t a j f_" u_" n_"
Taş'la	t a S 5_" a_"
Taşkale'de	t_" a_" S_" k a l e d e
Tekirdağ'a	t e c_" i_" r_" d a:
Tekirdağ'da	t e c_" i_" r_" d a: d a
Tekirdağ'daymış	t e c_" i_" r_" d a: d a j m 1 S
Teksas	t e c s_" a_" s_"
Telsim	t_" e_" l_" s i m
Telve'yi	t e l w e j_" i_"
Tepe'yi	t e p e j_" i_"
Tokat'ın	t_" o_" k a t 1 n
Tolga'ya	t o 5 g a j_" a_"
Tolga'yla	t o 5 g a j 5_" a_"
Tolga	t o 5 gj_" a_"
Toroğlu	t_" o_" r o: 5 u
Toshiba'ydı	t o S h_" i_" b a j d 1
Toshiba	t o S h_" i_" b a
Tosun'la	t o s u n 5_" a_"
Trabzon'a	t 1 r a b z o n_" a_"
Trabzon'da	t_" r_" a_" b_" z o n d a
Trabzon'dan	t_" r_" a_" b_" z o n d a n
Trabzon'daymış	t 1 r_" a_" b_" z o n d a j m 1 S
Trabzon'la	t 1 r_" a_" b_" z o n 5 a
Trabzon'u	t 1 r_" a_" b_" z o n u
Trabzon	t 1 r_" a_" b_" z o n
Trabzonlu	t 1 r_" a_" b_" z o n 5 u
Trabzonlularla	t 1 r_" a_" b_" z o n 5 u 5 a r 5 a
Trabzonspor'la	t 1 r_" a_" b_" z o n s i p o r 5 a
Tugay'la	t u g_" a_" j_" 5 a
Tugay'ı	t u g a j_" 1_"
Tunalı'da	t u n_" a_" 5 1 d a
Tunalı'ya	t u n_" a_" 5 1 j a
Tuncay	t_" u_" n_" dZ a j
Turan	t_" u:_" r a n
Turgutbey'e	t u r g_" u_" t_" b e j e
Turgutlu'da	t u r g_" u_" t_" 5 u d a
Turgutlulu	t u r g_" u_" t_" 5 u 5 u
Tuğba	t u: b_" a_"
Tuğçe'nin	t u: tS e n_" i_" n_"
Tylol	t i l_" o_" l_"
Tüketici	t y c e t i dZ_" i_"
Tülin	t y l_" i_" n_"
Türk	t_" y_" r_" k_"
Türkiye	t_" y_" r_" c i j e
Türkçe'den	t_" y_" r_" k_" tS e d e n
Türkçe'yi	t_" y_" r_" k_" tS e j i
Türkçe	t_" y_" r_" k_" tS e
UEFA'ya	u e f a: j_" a_"
UEFA	u e f_" a:_"
Ufuk	u f_" u_" k_"
Ulaş	u 5_" a_" S_"
Ulaşla	u 5_" a_" S_" 5 a
Uludağ'a	u 5_" u_" d a:
Uludağ'a	u 5_" u_" d a: a
Umre'de	u m r e d_" e_"
Umre'ye	u m r e j_" e_"
Umre'yi	u m r e j_" i_"
Umre	u m r_" e_"
Unatar'ınsa	u_" n a t a r 1 n s a
Unatar	u_" n a t a r`
Universal'de	y n i w_" e_" r_" s a l d e
Urfa	u_" r_" f a
Utku	u t k_" u_"
Utku	u_" t_" k u
Uydun	u j d_" u_" n_"
Uyzun	u j z_" u_" n_"
Uzunkapı'ya	u z_" u_" N_" k a p 1 j a
Uğur'a	u: r_" a_"
Uğur'un	u: r_" u_" n_"
Uğur	u:_" r`_"
Uşak'a	u_" S a k a
Vahdet	w a h d_" e_" t_"
Vakko	w_" a_" k_" k o
Veli	w e l_" i_"
Vildan	w i l d_" a_" n_"
Vildan	w_" i_" l_" d a n
Vildangile	w i l d_" a_" n_" gj i l e
Vildangilin	w i l d_" a_" n_" gj i l i n
Vodafone	w o d_" a_" f o n
Volkan'la	w o 5 k_" a_" n_" 5 a
Volkan	w o 5 k_" a_" n_"
Volki	w o 5 c_" i_"
Will	w_" i_" l_"
Y_G_S	j_" e:_" gj_" e:_" s_" e:_"
Yakup'tayım	j a: k u p t_" a_" j 1 m
Yakup'un	j a: k u b_" u_" n_"
Yakup	j a: k_" u_" p_"
Yakupla	j a k u p 5_" a_"
Yalan	j a 5_" a_" n_"
Yalova	j a 5 o w_" a_"
Yalova	j a 5_" o_" w a
Yalçın	j a 5 tS_" 1_" n_"
Yaren'i	j a r e n_" i_"
Yaren'in	j a: r e n_" i_" n_"
Yasemin'le	j a s e m_" i_" n_" l e
Yasemin	j a: s e m_" i_" n_"
Yasin'de	j a: s i n d_" e_"
Yasin'in	j_" a:_" s i n i n
Yasin	j a: s_" i_" n_"
Yasmin	j a s m_" i_" n_"
Yağmur'u	j a: m u r_" u_"
Yağmur	j a: m_" u_" r`_"
Yedigün	j e d_" i_" gj y n
Yener	j e n_" e_" r`_"
Yeni	j e n_" i_"
Yeşinler	j e S_" i_" n_" l e r`
Yiğit'e	j_" i:_" t e
Yiğit'i	j_" i:_" t i
Yiğit	j_" i:_" t_"
Yugoslavya	j u g_" o_" s_" 5 a w j a
Yunus	j u n_" u_" s_"
Yusuf'la	j_" u_" s u f 5 a
Yusuf	j u s_" u_" f_"
Yücel	j_" y_" dZ e l
Yüksel	j y c s_" e_" l_"
Yüksel	j_" y_" c_" s e l
Yılmaz'dı	j 1 5 m_" a_" z_" d 1
Yılmaz	j 1 5 m_" a_" z_"
Yılmaz	j_" 1_" 5_" m a z
Yılmazlarla	j 1 5 m a z 5_" a_" r_" 5 a
Zafer	z a f_" e_" r`_"
Zehra'nın	z_" e_" h_" r a: n 1 n
Zehra'nın	z_" e_" r a: n 1 n
Zehracık'a	z e h r_" a:_" dZ 1 a
Zeynep'le	z_" e_" j_" n e p l e
Zeynep	z_" e_" j_" n e p
Zeynepsu'nun	z e j n e p s u n_" u_" n_"
Zeynepsu'yla	z e j n e p s_" u_" j_" 5 a
Zeynepsu	z e j n e p s_" u_"
a	a:_"
abanoz	a b a n_" o_" z_"
abi	a_" b i
abidinpaşada	a b i d i n p a S a d_" a_"
abileri	a b i l e r_" i_"
abim	a: b_" i_" m_"
abime	a: b i m_" e_"
abimin	a b i m_" i_" n_"
abimin	a b_" i_" m i n
abimiz	a b i m_" i_" z_"
abimler	a b i m l_" e_" r`_"
abimler	a b_" i_" m_" l e r`
abin	a b_" i_" n_"
abin	a_" b i n
abinin	a: b i n_" i_" n_"
abinin	a: b_" i_" n i n
abinle	a b_" i_" n_" l e
abinler	a b_" i_" n_" l e r`
abisi	a: b i s_" i_"
abisinin	a b i s i n_" i_" n_"
abisinin	a b i s_" i_" n i n
abiye	a b i j_" e_"
abiye	a: b i j_" e_"
abiyle	a b_" i_" j_" l e
abla	a_" b_" 5 a
ablacım	a b 5 a dZ_" 1_" m_"
ablacım	a b 5_" a_" dZ 1 m
ablagili	a b 5 a gj i l_" i_"
ablalar	a b 5 a 5_" a_" r`_"
ablalar	a_" b_" 5 a 5 a r`
ablam	a b 5_" a_" m_"
ablama	a b 5 a m_" a_"
ablama	a_" b_" 5 a m a
ablamda	a b 5 a m d_" a_"
ablamdaydım	a_" b_" 5 a m d a j d 1 m
ablamla	a b 5 a m 5_" a_"
ablamla	a_" b_" 5 a m 5 a
ablamlar	a b 5 a m 5_" a_" r`_"
ablamlar	a b 5_" a_" m_" 5 a r`
ablamlara	a b 5 a m 5 a r_" a_"
ablamların	a b 5 a m 5 a r_" 1_" n_"
ablamı	a_" b_" 5 a m 1
ablamın	a b 5 a m_" 1_" n_"
ablamın	a_" b_" 5 a m 1 n
ablan	a b 5_" a_" n_"
ablana	a_" b_" 5 a n a
ablanla	a b 5 a n 5_" a_"
ablanla	a b 5_" a_" n_" 5 a
ablanlar	a b 5 a n 5_" a_" r`_"
ablanlar	a b 5_" a_" n_" 5 a r`
ablanın	a b 5 a n_" 1_" n_"
ablanın	a_" b_" 5 a n 1 n
ablası	a b 5 a s_" 1_"
ablasına	a b 5 a s 1 n_" a_"
ablasının	a_" b_" 5 a s 1 n 1 n
ablaya	a_" b_" 5 a j a
ablayla	a b 5 a j 5_" a_"
ablayla	a_" b_" 5 a j 5 a
abo	a b_" o_"
abone	a b o n_" e_"
aboneliği	a b o n e l_" i:_"
aboneliğin	a b o n e l_" i:_" n_"
abur	a b_" u_" r`_"
acaba	a dZ_" a_" b a
acaba	a_" dZ a b a
acayip	a dZ a: j_" i_" p_"
acayipti	a dZ a j i p t_" i_"
acele	a dZ e l_" e_"
acelecilik	a dZ e l e dZ i l_" i_" c_"
acelesi	a dZ e l e s_" i_"
acil	a:_" dZ i l
acilen	a_" dZ i l e n
acı	a dZ_" 1_"
acıdım	a dZ 1 d_" 1_" m_"
acıkıyor	a dZ 1 k_" 1_" j o r`
acıyor	a dZ_" 1_" j o r`
adam	a d_" a_" m_"
adama	a d a m_" a_"
adama	a d_" a_" m a
adamla	a d_" a_" m_" 5 a
adamlar	a d a m 5_" a_" r`_"
adamlarla	a d a m 5 a r 5_" a_"
adamlarla	a d_" a_" m_" 5 a r 5 a
adamları	a d a m 5 a r_" 1_"
adamların	a d a m 5 a r_" 1_" n_"
adamların	a d_" a_" m_" 5 a r 1 n
adamsın	a d a m s_" 1_" n_"
adamsın	a d_" a_" m_" s 1 n
adamı	a d a m_" 1_"
adamım	a d a m_" 1_" m_"
adamın	a d a m_" 1_" n_"
adamına	a d a m 1 n_" a_"
adamız	a d a m_" 1_" z_"
adapte	a d a p t_" e_"
adaya	a d a j_" a_"
adet	a d_" e_" t_"
adlarını	a d 5 a r 1 n_" 1_"
adrenalin	a d r e n a l_" i_" n_"
adrenalin	a d r e n_" a_" l i n
adres	a d r_" e_" s_"
adresi	a d r e s_" i_"
adresini	a d r e s i n_" i_"
adı	a d_" 1_"
adım	a d_" 1_" m_"
adımın	a d 1 m_" 1_" n_"
adına	a d 1 n_" a_"
adını	a d 1 n_" 1_"
afedersin	a_" f e d e r s i n
aferin	a: f e r_" i_" n_"
affetmem	a f f e t m_" e_" m_"
afiyet	a: f i j_" e_" t_"
afiş	a f_" i_" S_"
aga	a:_"
agu	a_" g u
aguladı	a g u 5 a d_" 1_"
aguluyordu	a g u 5_" u_" j o r d u
ah	a_"
ah	a_" h_"
aha	a a_"
aha	a h_" a_"
ailecek	a i l dZ_" e_" c_"
ailecek	a i l e dZ_" e_" c_"
ailecek	a i l i dZ_" e_" c_"
ailelerin	a i l e l e r_" i_" n_"
ailelerin	a j l e l e r_" i_" n_"
ailelerinde	a i l e l e r_" i_" n_" d e
ailen	a i l_" e_" n_"
aileni	a i l e n_" i_"
aileni	a j l e n_" i_"
ailesinin	a i l e s i n_" i_" n_"
aileye	a i l e j_" e_"
ait	a i_" t_"
ajandayı	a Z a n d a j_" 1_"
akademik	a k a d e m_" i_" c_"
akarız	a k_" a_" r 1 z
aklı	a k 5_" 1_"
aklım	a k 5_" 1_" m_"
aklıma	a k 5 1 m_" a_"
aklımda	a k 5 1 m d_" a_"
aklımdan	a k 5 1 m d_" a_" n_"
aklın	a k 5_" 1_" n_"
aklına	a k 5 1 n_" a_"
aklında	a k 5 1 n d_" a_"
aklınızda	a k 5 1 n 1 z d_" a_"
akraba	a k r a b_" a_"
akreditasyon	a k r e d i t a s j_" o_" n_"
aksatmayın	a k s_" a_" t_" m a j 1 n
aksi	a k s_" i_"
aksi	a_" k_" s i
aksilik	a k s i l_" i_" c_"
aksiydi	a k s i j d_" i_"
aksiymiş	a k s i j m_" i_" S_"
aktivite	a k t i w i t_" e_"
akıl	a k_" 1_" 5_"
akılları	a k 1 5 5 a r_" 1_"
akıllı	a k 1 5 5_" 1_"
akşam	a k S_" a_" m_"
akşama	a k S a m_" a_"
akşamları	a k S a m 5 a r_" 1_"
akşamlarını	a k S a m 5 a r 1 n_" 1_"
akşamleyin	a k S a m l e j_" i_" n_"
akşamüstü	a k S_" a_" m y s t y
akşamı	a k S a m_" 1_"
al	a_" 5_"
alabilecek	a 5 a b i l dZ_" e_" c_"
alabilecek	a 5 a b i l e dZ_" e_" c_"
alabilecek	a 5 a b i l i dZ_" e_" c_"
alabilir	a 5 a b i l_" i_" r`_"
alabilirsin	a 5 a b i l i r s_" i_" n_"
alabilirsiniz	a 5 a b i l i r s i n_" i_" z_"
alabilmek	a 5_" a_" b i l m e c
alacak	a 5 1 dZ_" a_" k_"
alacak	a 5 a dZ_" a_" k_"
alacak	a 5 dZ_" a_" k_"
alacaklar	a 5 1 dZ a k 5_" a_" r`_"
alacaklar	a 5 a dZ a k 5_" a_" r`_"
alacaklar	a 5 dZ a k 5_" a_" r`_"
alacaklardı	a 5 1 dZ a k 5 a r d_" 1_"
alacaklardı	a 5 a dZ a k 5 a r d_" 1_"
alacaklardı	a 5 dZ a k 5 a r d_" 1_"
alacakmış	a 5 1 dZ_" a_" k_" m 1 S
alacakmışız	a 5 a dZ_" a_" k_" m 1 S 1 z
alacaksın	a 5 1 dZ a k s_" 1_" n_"
alacaksın	a 5 a dZ a k s_" 1_" n_"
alacaksın	a 5 dZ a k s_" 1_" n_"
alacaktım	a 5 1 dZ_" a_" k_" t 1 m
alacaktım	a 5 a dZ_" a_" k_" t 1 m
alacaktım	a 5 dZ_" a_" k_" t 1 m
alacağım	a 5 1 dZ_" a:_" m_"
alacağım	a 5 a dZ_" a:_" m_"
alacağım	a 5 a dZ_" a_" 1 m
alacağım	a 5 dZ_" a:_" m_"
alacağımı	a 5 1 dZ a: m_" 1_"
alacağız	a 5 1 dZ_" a:_" z_"
alacağız	a 5 a dZ a 1_" z_"
alacağız	a 5 a dZ_" a:_" z_"
alacağız	a 5 dZ_" a:_" z_"
alaka	a 5 a: c_" a_"
alaka	a 5 a: k_" a_"
alakalı	a 5 a c a 5_" 1_"
alakalı	a 5 a k a 5_" 1_"
alakam	a l a: k_" a_" m_"
alakası	a 5 a: c a s_" 1_"
alakası	a 5 a: k a s_" 1_"
alalım	a 5 a 5_" 1_" m_"
alamadım	a 5_" a_" m a d 1 m
alamam	a 5_" a_" m a m
alamamış	a 5 a m a m_" 1_" S_"
alamamış	a_" 5 a m a m 1 S
alamıyor	a 5_" a_" m 1 j o r`
alamıyorum	a 5_" a_" m 1 j o m
alamıyorum	a 5_" a_" m 1 j o r u m
alamıyoruz	a 5_" a_" m 1 j o r u z
alamıyoruz	a 5_" a_" m 1 j o z
alan	a 5_" a_" n_"
alana	a 5 a n_" a_"
alanım	a 5 a n_" 1_" m_"
alay	a 5_" a_" j_"
alayım	a 5 a j_" 1_" m_"
albüm	a 5 b_" y_" m_"
alcam	a 5 dZ_" a_" m_"
aldı	a 5 d_" 1_"
aldık	a 5 d_" 1_" k_"
aldıklarımı	a 5 d 1 k 5 a r 1 m_" 1_"
aldılar	a 5 d 1 5_" a_" r`_"
aldım	a 5 d_" 1_" m_"
aldın	a 5 d_" 1_" n_"
aldınız	a 5 d 1 n_" 1_" z_"
aldırmaya	a 5 d_" 1_" r_" m a j a
aldırır	a 5 d 1 r_" 1_" r`_"
aldığı	a 5 d_" 1:_"
aldığım	a 5 d_" 1:_" m_"
aldığımız	a 5 d 1: m_" 1_" z_"
aldığından	a 5 d 1: n d_" a_" n_"
aldığını	a 5 d 1: n_" 1_"
alem	a l_" e_" m_"
alemde	a l e m d_" e_"
alerjim	a l e r Z_" i_" m_"
aletimi	a l e t i m_" i_"
aleyküm	a l e j c_" y_" m_"
aleykümselam	a l e j c y m s e 5_" a_" m_"
algıladım	a 5 g 1 5_" a_" d 1 m
algılayalım	a 5 g 1 5 a j a 5_" 1_" m_"
algılıyorum	a 5 g 1 5_" 1_" j o m
algılıyorum	a 5 g 1 5_" 1_" j o r u m
alma	a 5 m_" a_"
alma	a_" 5_" m a
almadan	a_" 5_" m a d a n
almadı	a_" 5_" m a d 1
almadılar	a 5 m a d 1 5_" a_" r`_"
almadım	a_" 5_" m a d 1 m
almadın	a_" 5_" m a d 1 n
almadıysan	a 5 m a d 1 j s_" a_" n_"
almak	a 5 m_" a_" k_"
almam	a 5 m_" a_" m_"
almamız	a 5 m a m_" 1_" z_"
almamışlar	a 5 m a m 1 S 5_" a_" r`_"
almamışlar	a 5 m_" a_" m 1 S 5 a r`
alman	a 5 m_" a_" n_"
almasın	a 5 m a s_" 1_" n_"
almasın	a_" 5_" m a s 1 n
almasınlar	a_" 5_" m a s 1 n 5 a r`
almasını	a 5 m a s 1 n_" 1_"
almaya	a 5 m a j_" a_"
almayacağım	a 5 m 1 dZ_" a:_" m_"
almayacağım	a 5 m a j a dZ_" a:_" m_"
almayacağım	a 5 m a j a dZ_" a_" 1 m
almayacağım	a 5 m a j dZ_" a:_" m_"
almaz	a 5 m_" a_" z_"
almazsa	a 5 m a z s_" a_"
almıyacakmışız	a_" 5_" m 1 j dZ a k m 1 S 1 z
almıyordu	a_" 5_" m 1 j o r d u
almıyorsun	a_" 5_" m 1 j o n
almıyorsun	a_" 5_" m 1 j o r s u n
almıyorsunuz	a_" 5_" m 1 j o r s u n u z
almıyorum	a_" 5_" m 1 j o m
almıyorum	a_" 5_" m 1 j o r u m
almış	a 5 m_" 1_" S_"
almışlar	a 5 m 1 S 5_" a_" r`_"
almışlar	a_" 5_" m 1 S 5 a r`
almışta	a 5 m 1 S t_" a_"
almıştı	a 5 m 1 S t_" 1_"
almıştın	a 5 m 1 S t_" 1_" n_"
almıştın	a_" 5_" m 1 S t 1 n
almışım	a 5 m 1 S_" 1_" m_"
alo	a 5_" o_"
alsak	a 5 s_" a_" k_"
alsana	a 5 s a n_" a_"
alsaydın	a 5 s a j d_" 1_" n_"
alsaydın	a 5 s_" a_" j_" d 1 n
alsın	a 5 s_" 1_" n_"
alsın	a_" 5_" s 1 n
alt	a_" 5_" t_"
alternatif	a l t e r n a t_" i_" f_"
alternatifim	a l t e r n a t i f_" i_" m_"
alternatifler	a l t e r n a t_" i_" f_" l e r`
altmış	a 5 t m_" 1_" S_"
alttan	a 5 t t_" a_" n_"
altı	a 5 t_" 1_"
altıda	a 5 t 1 d_" a_"
altılı	a 5 t 1 5_" 1_"
altına	a 5 t 1 n_" a_"
altında	a 5 t 1 n d_" a_"
altından	a 5 t 1 n d_" a_" n_"
altısı	a 5 t 1 s_" 1_"
